Observation id	video_0186

Media file(s)

Player #1	clips_mp4/video_0186.mp4

Observation date	2016-05-18 22:03:41

Description

Time offset (s)	0.0

independent variables
variable	value
time_of_day	daytime
location	street
weather	cloudy
road conditions	wet

Time	Media file path	Media total length	FPS	Subject	Behavior	Comment	Status
0.015	clips_mp4/video_0186.mp4	7.0	30.0	Driver	moving fast			START
0.029	clips_mp4/video_0186.mp4	7.0	30.0	car	stopped			START
0.033	clips_mp4/video_0186.mp4	7.0	30.0	pedestrian	standing			START
1.033	clips_mp4/video_0186.mp4	7.0	30.0	pedestrian	looking			START
1.786	clips_mp4/video_0186.mp4	7.0	30.0	car	stopped			STOP
1.787	clips_mp4/video_0186.mp4	7.0	30.0	car	moving slow			START
1.842	clips_mp4/video_0186.mp4	7.0	30.0	Driver	moving fast			STOP
1.843	clips_mp4/video_0186.mp4	7.0	30.0	Driver	slow down			START
3.300	clips_mp4/video_0186.mp4	7.0	30.0	pedestrian	looking			STOP
3.467	clips_mp4/video_0186.mp4	7.0	30.0	pedestrian	standing			STOP
4.806	clips_mp4/video_0186.mp4	7.0	30.0	car	moving slow			STOP
4.807	clips_mp4/video_0186.mp4	7.0	30.0	car	speed up			START
7.000	clips_mp4/video_0186.mp4	7.0	30.0	Driver	slow down			STOP
7.000	clips_mp4/video_0186.mp4	7.0	30.0	car	speed up			STOP
