Observation id	video_0142

Media file(s)

Player #1	clips_mp4/video_0142.mp4

Observation date	2016-05-15 19:25:09

Description

Time offset (s)	0.0

independent variables
variable	value
time_of_day	daytime
location	street
weather	cloudy
road conditions	dry							

Time	Media file path	Media total length	FPS	Subject	Behavior	Comment	Status
0.015	clips_mp4/video_0142.mp4	10.0	30.0	Driver	moving slow			START
0.035	clips_mp4/video_0142.mp4	10.0	30.0	car	stopped			START
0.185	clips_mp4/video_0142.mp4	10.0	30.0	car	flasher signal			START
3.027	clips_mp4/video_0142.mp4	10.0	30.0	Driver	moving slow			STOP
3.028	clips_mp4/video_0142.mp4	10.0	30.0	Driver	slow down			START
4.698	clips_mp4/video_0142.mp4	10.0	30.0	Driver	slow down			STOP
4.699	clips_mp4/video_0142.mp4	10.0	30.0	Driver	stopped			START
5.139	clips_mp4/video_0142.mp4	10.0	30.0	car	stopped			STOP
5.140	clips_mp4/video_0142.mp4	10.0	30.0	car	moving slow			START
6.090	clips_mp4/video_0142.mp4	10.0	30.0	Driver	stopped			STOP
6.091	clips_mp4/video_0142.mp4	10.0	30.0	Driver	speed up			START
7.172	clips_mp4/video_0142.mp4	10.0	30.0	car	flasher signal			STOP
10.000	clips_mp4/video_0142.mp4	10.0	30.0	Driver	speed up			STOP
10.000	clips_mp4/video_0142.mp4	10.0	30.0	car	moving slow			STOP
